dataset,model,eer,eer_aggregation,far,frr,threshold_target_training_far,source,macro_eer_diagnostic_additional,validation_status,genuine_probe_coverage,observed_genuine_probes,expected_candidate_genuine_probes,genuine_not_accepted_rate_including_abstentions,missing_roles,calibration_scope,training_selected_method,is_training_selected,prior_dev_exposure,whole_cohort_additional_verification_fraction,margin_eer_diagnostic_additional,genuine_n,impostor_n,threshold_scope,selected_checkpoint,false_acceptances,false_rejections,dev_identities,paired_windows,windows_below_source_training_minimum25,api_boundary
cmu,baseline,0.22044117647058822,macro_per_account,0.010968627450980392,0.7419607843137256,0.01,cmu/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
cmu,svm-10-0.1,0.1550235294117647,macro_per_account,0.009980392156862744,0.7298039215686273,0.01,cmu/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
cmu100,baseline,0.13990980392156863,macro_per_account,0.010149019607843139,0.497843137254902,0.01,cmu100/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
cmu100,svm-1-1,0.09140392156862745,macro_per_account,0.010298039215686275,0.4443137254901961,0.01,cmu100/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
cmu-account-selection,baseline,0.22044117647058822,macro_per_account,0.010968627450980392,0.7419607843137256,0.01,cmu-account-selection/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
cmu-account-selection,svm-10-0.1,0.1550235294117647,macro_per_account,0.009980392156862744,0.7298039215686273,0.01,cmu-account-selection/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
cmu-account-selection,account_selected,0.1432450980392157,macro_per_account,0.009486274509803922,0.6743137254901961,0.01,cmu-account-selection/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
cmu-far-selection,baseline,0.22044117647058822,macro_per_account,0.010968627450980392,0.7419607843137256,0.01,cmu-far-selection/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
cmu-far-selection,svm-10-0.1,0.1550235294117647,macro_per_account,0.009980392156862744,0.7298039215686273,0.01,cmu-far-selection/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
cmu-far-selection,account_selected,0.1432450980392157,macro_per_account,0.009486274509803922,0.6743137254901961,0.01,cmu-far-selection/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
cmu-far-selection,far_selected,0.18497647058823533,macro_per_account,0.009854901960784314,0.6409803921568628,0.01,cmu-far-selection/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
keyrecs-fixed,reference_logistic,0.17080271785943626,macro_per_account,0.012568777122187938,0.7638890167357718,0.01,results/keyrecs-v1/fixed-results.json,,,,,,,,,,,,,,,,,,,,,,,
keyrecs-fixed,train_selected,0.11618161203340528,macro_per_account,0.012930946442501421,0.4591429299860141,0.01,results/keyrecs-v1/fixed-results.json,,,,,,,,,,,,,,,,,,,,,,,
keyrecs-free,reference_logistic,0.16664982550039964,macro_per_account,0.007048288533409635,0.8572565404763464,0.01,results/keyrecs-v1/free-results.json,,,,,,,,,,,,,,,,,,,,,,,
keyrecs-free,train_selected,0.09722853458302232,macro_per_account,0.01141385273659837,0.4564380840398412,0.01,results/keyrecs-v1/free-results.json,,,,,,,,,,,,,,,,,,,,,,,
keyrecs-free-typenet,frozen_typenet,0.20232984102706528,macro_per_account,0.01172332213934953,0.8408364279164119,0.01,results/typenet-keyrecs-v1/dev-results.json,,,,,,,,,,,,,,,,,,,,,,,
device,equal_attribute_agreement,0.037877673591959315,pooled,0.0068877551020408165,0.08333333333333333,0.01,device_results.json,,,,,,,,,,,,,,,,,,,,,,,
device,exact_fingerprint_match,0.47733333333333333,pooled,0.0,0.9132653061224489,0.01,device_results.json,,,,,,,,,,,,,,,,,,,,,,,
device,bioprint_overlap_device_score,0.07568027210884354,pooled,0.01211734693877551,0.3307823129251701,0.01,device_results.json,,,,,,,,,,,,,,,,,,,,,,,
device,thresholdfp_2025_pairwise_adaptation,0.03966836734693877,pooled,0.011181972789115646,0.07993197278911565,0.01,device_results.json,,,,,,,,,,,,,,,,,,,,,,,
device,fpstalker_inspired_random_forest,0.023809523809523836,pooled,0.007993197278911564,0.05272108843537415,0.01,device_results.json,,,,,,,,,,,,,,,,,,,,,,,
device,hist_gradient_boosting,0.022959183673469385,pooled,0.008418367346938776,0.04846938775510204,0.01,device_results.json,,,,,,,,,,,,,,,,,,,,,,,
delbot,geometric_random_forest,0.14545454545454545,pooled,0.03636363636363636,0.3115468409586057,0.01,delbot_results.json,,,,,,,,,,,,,,,,,,,,,,,
delbot,geometric_logistic_regression,0.14596949891067534,pooled,0.0,1.0,0.01,delbot_results.json,,,,,,,,,,,,,,,,,,,,,,,
delbot,bioprint_pointer_rules_only,0.5049614112458655,pooled,0.0,1.0,0.01,delbot_results.json,,,,,,,,,,,,,,,,,,,,,,,
cognitive,condition_index_slope,0.4861111111111111,pooled,0.013888888888888888,0.8888888888888888,0.01,cognitive_results.json,,,,,,,,,,,,,,,,,,,,,,,
cognitive,condition_means,0.3194444444444444,pooled,0.0,1.0,0.01,cognitive_results.json,,,,,,,,,,,,,,,,,,,,,,,
cognitive,full_rt_accuracy_profile,0.2777777777777778,pooled,0.027777777777777776,0.7777777777777778,0.01,cognitive_results.json,,,,,,,,,,,,,,,,,,,,,,,
cognitive,learned_full_profile_rf,0.3055555555555556,pooled,0.041666666666666664,0.8888888888888888,0.01,cognitive_results.json,,,,,,,,,,,,,,,,,,,,,,,
touch_tsi,selected,0.34448416751787536,pooled,0.009959141981613892,0.9185393258426966,0.01,touch_tsi_results.json,,,,,,,,,,,,,,,,,,,,,,,
touch_tsi,landing_baseline,0.3674668028600613,pooled,0.009959141981613892,0.9550561797752809,0.01,touch_tsi_results.json,,,,,,,,,,,,,,,,,,,,,,,
beacon_nonlinear,behavior_fusion_selected,0.4382716049382716,pooled,0.024691358024691357,0.9876543209876543,0.01,beacon_nonlinear_results.json,,,,,,,,,,,,,,,,,,,,,,,
beacon_nonlinear,behavior_fusion_reference_lr,0.4382716049382716,pooled,0.024691358024691357,0.9876543209876543,0.01,beacon_nonlinear_results.json,,,,,,,,,,,,,,,,,,,,,,,
beacon_nonlinear,behavior_plus_context_selected,0.43209876543209874,pooled,0.08024691358024691,0.8641975308641975,0.01,beacon_nonlinear_results.json,,,,,,,,,,,,,,,,,,,,,,,
beacon_nonlinear,behavior_plus_context_reference_lr,0.43209876543209874,pooled,0.08024691358024691,0.8641975308641975,0.01,beacon_nonlinear_results.json,,,,,,,,,,,,,,,,,,,,,,,
pointer,existing_scaled_manhattan,0.48606115107913667,pooled,0.018884892086330936,0.9820143884892086,0.01,pointer/results.json,0.38296328320758655,,,,,,,,,,,,,,,,,,,,,,
pointer,extra_1,0.5618255395683454,pooled,0.01933453237410072,0.9244604316546763,0.01,pointer/results.json,0.30093943000114104,,,,,,,,,,,,,,,,,,,,,,
pointer_sapimouse,scaled_manhattan@5,0.2617276887871854,pooled,0.08295194508009153,0.6052631578947368,0.01,pointer_sapimouse/results.json,0.22910011895457102,,,,,,,,,,,,,,,,,,,,,,
